8,158,13,0,0,1,79,9,28,90,0,91,0,6
5,2,27,0,0,61,4,1,126,0,0,3,42,3
7,59,9,0,1,7,27,9,37,25,2,66,0,10
2,20,192,6264,1,1892,11,6,743,6,2,19,8506,38
7,13,426,3,0,397,9,1,189,2,0,10,11,57
5,6,304,7,0,985,2,8,268,3,0,10,37,21
7,46,21,0,0,8,27,12,18,11,0,54,0,17
8,39,55,0,0,6,36,0,17,12,0,31,2,38
4,12,4,0,0,0,11,1,6,6,0,27,0,1
6,2,28,0,0,18,20,0,213,1,0,9,21,13
7,31,70,3,0,11,75,4,297,14,0,61,45,32
8,18,803,9,0,784,15,2,336,3,1,22,33,74
7,3,2,0,1,9,6,3,78,1,0,4,28,5
7,90,134,26,1,101,107,28,854,31,0,142,260,128
5,4,38,16,0,29,6,6,179,2,0,16,70,13
7,21,37,0,0,28,29,1,152,7,0,33,20,21
7,23,30,0,1,24,76,11,167,13,0,73,44,40
8,92,14,0,0,2,68,11,15,45,0,55,1,14
7,13,30,2,0,15,29,6,130,6,0,23,30,19
5,2,6,1,0,3,9,1,8,4,0,14,0,10
7,79,116,1,1,19,42,12,52,51,0,71,1,47
7,16,24,1,0,14,22,6,102,4,0,44,1,28
6,34,38,10,1,38,25,5,267,34,0,32,67,21
7,19,294,10,0,264,11,26,285,7,0,47,42,41
7,4,6,0,0,8,25,1,97,1,0,13,27,8
7,13,17,0,0,12,22,6,167,15,0,34,17,32
6,3,154,12,0,332,2,0,225,3,0,2,59,18
9,888,334,25,13,135,999,190,1430,622,0,2227,114,477
4,116,10,2,1,1,48,18,10,138,0,140,3,9
8,99,4,0,1,0,51,7,5,46,0,98,0,9
8,42,39,0,0,8,47,5,142,10,0,93,30,43
6,17,0,0,710,0,8,8,125,234,3,23,0,4
3,20,1,0,931,2,5,0,173,227,1017,24,95,9
7,105,12,0,2,3,51,12,26,199,0,128,2,12
8,78,4,0,0,1,58,10,25,128,0,67,0,14
5,3,6,1,0,7,2,1,159,0,0,2,14,6
7,85,1,0,0,1,36,6,6,35,0,66,0,5
7,72,8,0,0,1,56,3,5,99,0,61,1,13
8,18,22,2,0,2,38,4,83,13,0,60,2,15
9,67,9,0,1,4,88,15,22,52,0,140,1,21
9,94,20,0,1,0,92,11,38,61,0,135,1,19
7,114,116,0,2,37,136,52,516,49,0,310,27,93
8,80,4,0,0,1,69,10,6,53,0,88,1,9
3,136,0,0,1,0,101,4,7,301,0,111,0,13
9,26,17,0,1,2,41,5,29,13,0,62,0,5
7,582,1007,42,9,469,922,463,4440,232,0,2229,693,793
9,101,28,0,0,2,75,14,43,69,0,154,3,13
9,22,10,0,0,2,33,6,21,26,0,44,0,6
9,47,17,0,1,4,33,6,27,27,0,41,0,7
4,5,97,88,0,397,1,1,193,1,0,11,616,16
7,2,157,5,0,140,4,0,53,0,0,5,14,12
9,983,648,198,13,361,1414,341,2280,668,0,3172,799,671
7,28,12,0,0,11,57,11,123,13,0,81,10,29
9,25,19,2,0,6,43,5,62,20,0,56,2,22
9,42,32,0,0,11,90,13,123,22,0,156,5,44
7,88,10,0,0,2,51,8,24,102,0,109,0,20
9,20,8,0,0,4,22,6,31,13,0,42,0,6
7,86,11,0,1,2,45,19,16,167,0,96,0,10
9,56,29,2,0,10,102,24,121,47,0,219,2,34
7,874,940,61,11,703,1091,329,3983,483,5,2457,577,897
6,3,8,2,0,15,2,3,125,2,0,8,33,5
7,96,9,0,1,1,38,2,16,20,1,49,0,12
7,113,59,0,0,3,88,20,169,79,0,196,3,63
6,7,12,1,8,17,5,1,82,5,7,15,5,14
7,53,35,2,0,21,65,7,165,16,0,72,15,34
3,128,5,0,0,1,72,11,8,43,0,106,0,5
5,20,182,34,0,413,66,55,856,10,0,81,410,64
9,46,40,1,0,5,93,7,128,28,0,122,2,51
8,113,13,0,1,4,51,9,17,49,0,59,1,13
7,54,2,0,4,0,15,4,21,38,0,63,0,4
9,58,25,3,0,10,57,8,92,24,0,115,4,28
9,59,8,2,0,7,38,9,18,16,0,59,2,6
6,11,16,23,0,9,5,5,107,4,0,26,7,8
3,81,7,0,3,0,23,7,6,44,0,102,0,15
7,13,84,5,0,49,79,5,374,6,0,46,29,45
5,4,11,2,0,3,5,2,28,4,0,19,0,9
9,94,42,0,1,1,89,33,61,60,0,231,0,54
7,11,199,7,0,160,9,1,93,6,0,10,20,15
8,52,23,0,2,14,86,22,99,32,0,120,9,33
7,118,11,1,0,0,66,13,29,59,1,74,1,4
6,85,10,0,0,3,40,19,50,31,0,85,1,12
8,28,8,0,1,2,6,19,27,10,0,26,0,8
6,3,53,0,0,68,11,1,36,3,0,3,0,11
8,39,90,3,0,43,128,37,413,37,0,199,56,93
8,394,43,1,4,12,229,33,111,172,0,336,6,57
10,223,32,1,1,6,148,31,86,160,0,442,3,50
7,314,6,0,0,1,68,11,12,138,0,166,0,11
7,235,11,1,3,8,57,15,22,135,0,158,2,13
8,109,10,0,0,3,86,5,36,46,0,92,4,19
9,32,7,0,1,3,56,11,17,34,0,69,0,9
7,19,55,3,0,24,34,3,185,6,0,51,25,50
7,47,17,1,0,4,23,8,146,12,0,49,3,20
5,46,11,1,0,0,38,11,14,61,0,60,0,4
10,33,7,0,0,0,24,1,5,20,0,70,0,8
8,656,3368,149,22,2092,889,214,2922,393,7,1645,694,810
7,74,51,2,0,48,50,9,203,60,0,66,24,49
8,80,24,0,2,11,48,7,48,68,0,60,10,16
7,62,18,0,1,8,53,19,54,14,0,73,2,28
5,130,608,1673,1,1134,201,130,2302,52,0,365,1695,308
8,5102,1522,127,118,603,4426,1117,5091,3784,4,8999,400,1813
7,7,38,1,0,20,49,6,237,4,0,24,36,28
6,2,9,1,0,11,3,0,165,0,0,3,26,14
8,29,115,3,0,18,55,30,222,21,1,102,14,61
9,18,11,0,0,2,10,3,37,10,0,22,2,4
8,84,4,0,3,0,59,6,8,23,1,71,9,4
7,53,4,0,0,1,27,7,12,37,0,53,0,9
7,4,13,0,0,11,9,0,128,1,0,7,56,11
7,3,7,0,0,1,6,6,41,1,0,16,16,10
6,41,3,0,0,1,13,6,20,16,0,52,0,12
7,22,9,0,0,1,8,17,22,13,0,38,1,11
9,49,117,0,0,17,45,17,126,10,0,97,4,27
7,46,14,1,0,1,65,20,21,23,0,103,4,18
8,169,6,0,0,1,104,8,20,82,0,129,0,27
7,40,3,0,3,1,11,18,7,50,0,43,0,8
9,60,4,0,0,2,31,4,8,20,0,60,2,15
7,25,27,0,1,14,51,12,110,8,0,115,1,19
9,63,22,0,0,2,59,19,32,55,0,129,1,18
3,14,6,0,0,0,11,4,9,3,0,13,1,5
6,2138,2632,432,66,1561,3219,3840,16957,1048,24,6624,3474,2766
7,20,40,11,0,56,17,6,229,6,0,36,40,22
6,1,83,8,0,132,0,2,52,0,0,4,4,2
8,68,48,1,0,15,63,11,110,29,0,171,9,38
7,110,16,0,0,4,77,9,61,60,0,113,4,36
7,9352,6532,5042,9783,3607,11146,12799,29269,8620,492,26800,3585,7462
8,127,10,0,1,1,73,13,20,79,0,122,2,10
8,99,10,2,1,0,71,7,17,137,0,111,1,12
7,44,18,0,0,1,25,2,36,18,0,53,0,18
8,48,22,3,0,5,41,6,99,21,1,89,3,28
5,10,8,0,0,10,11,1,27,3,0,11,0,4
8,74,38,0,3,6,37,8,51,42,0,111,1,28
9,73,15,0,2,1,76,8,44,63,0,142,0,29
7,122,14,0,3,1,82,9,38,78,0,80,0,15
8,104,5,0,4,0,50,12,14,151,0,99,0,6
5,29,4,1,0,0,4,1,12,4,0,17,2,6
9,258,149,2,5,36,370,63,482,247,0,534,16,165
7,20,0,0,0,2,10,2,8,17,0,13,0,8
3,3,115,4,1,446,0,1,462,0,0,2,9,2
7,36,67,2,2,39,63,32,303,10,0,75,38,61
8,69,10,0,1,2,23,5,11,63,0,83,2,13
7,103,4,0,4,1,24,10,10,65,0,40,0,4
7,49,3,2,5,0,13,3,1,86,0,18,0,3
7,106,4,0,5,1,15,3,4,130,0,34,0,3
8,31,4,0,1,0,9,5,4,30,0,34,0,1
5,331,918,184,20,932,304,493,1560,185,3,833,1032,379
7,43,17,1,0,1,55,7,113,43,0,95,13,27
7,14,624,24,1,497,18,6,281,4,0,23,97,59
9,103,16,0,3,3,80,17,51,65,0,167,8,21
7,33,63,1,1,33,86,8,275,6,0,67,27,44
5,179,8,0,0,0,83,18,17,128,0,152,1,23
7,62,20,1,0,6,100,16,25,25,0,91,1,27
8,86,2,0,0,0,57,7,13,180,0,112,1,12
4,62,214,754,0,306,122,183,2219,15,1,104,673,136
8,25,4,0,1,11,22,4,44,22,0,51,9,14
2,0,0,0,49,0,1,1,17,4,121,7,4,15
8,97,13,0,0,2,97,19,22,21,0,150,4,15
6,0,11,7,0,12,5,0,127,3,0,3,29,6
6,175,17,0,2,5,62,14,15,202,0,115,3,13
5,4,124,5,0,152,2,4,110,2,0,11,10,14
7,87,16,0,0,12,40,6,64,70,0,76,1,25
5,5,17,0,0,19,15,4,149,1,0,7,26,9
5,0,45,0,0,34,0,0,18,0,0,0,3,1
7,7,180,20,0,101,17,1,83,4,1,27,28,22
6,68,27,0,0,19,62,9,74,45,0,100,1,15
5,2,17,0,0,11,2,18,45,2,0,15,3,5
8,5127,2680,449,92,959,6908,2413,11580,4557,9,14701,1677,2996
10,182,21,0,2,2,119,27,25,99,0,258,1,11
9,86,65,2,0,20,53,4,29,36,0,101,2,11
5,4,116,0,1,220,3,74,166,1,0,12,20,16
3,1,150,7,0,343,0,0,68,0,0,1,6,13
8,3970,1572,100,38,574,4537,1184,6389,2869,1,10746,683,2168
6,14,18,1,0,17,30,5,160,6,0,34,33,13
9,107,20,1,1,1,98,29,41,90,0,170,0,11
9,94,10,1,1,8,81,11,28,59,0,96,0,12
7,24,9,0,1,2,7,3,7,9,0,21,0,6
6,4585,5817,679,66,2798,7333,6017,33538,2365,12,16497,8751,6512
8,45,7,0,0,6,25,6,22,46,1,28,0,6
7,15,33,4,0,23,21,13,261,11,0,47,34,45
8,30,475,2,0,127,61,1,173,7,0,95,14,81
6,121,11,1,5,0,43,9,16,25,0,42,2,13
7,126,16,0,0,9,40,9,14,31,0,64,1,15
9,102,10,1,0,4,88,9,62,67,0,147,0,35
1,9,1,0,847,0,6,5,214,43,2264,11,3,3
5,85,129,0,127,0,577,457,136,146,1,146,166,134
2,0,0,0,53,0,0,0,9,3,159,4,2,0
3,57,2,0,2863,2,10,8,225,162,1131,57,5,16
2,3,0,1,165,0,0,1,59,6,383,8,2,19
8,36,10,0,0,2,50,5,15,21,0,29,0,3
3,4,0,1,2530,1,6,1,203,63,1340,18,2,24
7,38,24,1,0,8,17,13,97,11,0,55,2,31
2,1,0,0,669,0,5,0,22,24,846,4,123,1
2,1,27,536,0,290,0,1,76,0,0,1,652,4
9,28,25,2,1,4,44,18,93,20,0,91,1,22
5,173,12,2,704,6,223,1226,193,404,88,623,62,86
3,0,41,6,0,343,0,3,23,0,0,0,10,5
1,0,4,0,0,10,5,0,17,0,0,0,1,0
4,128,4,0,0,1,40,11,9,63,0,76,0,10
3,21,1,3,4076,1,9,3,159,189,1548,55,15,7
3,163,5,0,1114,0,0,1,20,141,2346,19,1,1
5,4,4,0,1013,1,4,0,41,108,966,28,10,3
3,9846,16529,58585,2763,23039,8181,4886,51238,9177,386,13960,39151,8447
7,18,0,0,649,0,11,3,148,135,87,49,0,3
2,23,1,0,1291,1,2,1,121,50,659,17,17,5
5,27,19,0,35,1,317,795,535,91,5,334,486,82
3,11,1,0,185,1,11,0,212,37,1021,18,5,18
7,180,21,1,0,2,103,9,23,105,0,131,1,28
3,3,1,1,2787,0,1,7,28,21,2326,11,5,2
7,40,8,0,0,2,12,1,11,22,0,34,0,9
8,1153,629,33,6,273,1278,435,2288,709,2,3427,554,717
2,9,4,2,0,1,5,0,8,4,0,3,2,1
4,2,23,0,170,0,1,0,24,77,1042,6,0,1
6,171,2,0,32,0,173,20,77,97,26,172,4,50
2,19,4,0,3501,1,4,6,267,79,3054,40,27,19
2,7,1,1,2452,2,20,4,212,180,3883,49,314,41
5,22,12,0,3238,0,9,27,186,263,464,72,13,163
9,40,25,1,1,3,51,11,20,20,0,60,3,22
7,0,5,2,0,19,0,0,90,1,0,0,19,1
2,24,1,0,3498,1,4,1,79,177,1218,56,3,40
8,26,31,0,1,2,29,10,35,6,0,59,0,18
3,2,0,0,107,0,0,0,7,3,272,5,1,5
7,117,13,0,0,6,39,2,11,98,0,108,0,20
8,37,30,0,1,5,26,6,24,13,0,68,0,19
8,48,13,0,0,0,55,11,56,31,0,52,2,23
6,0,51,1,0,186,0,0,10,0,0,0,6,0
5,6,86,3,0,278,0,0,50,1,0,3,5,4
10,160,37,5,1,15,159,43,124,166,0,327,2,51
5,0,52,2,0,152,0,1,20,0,0,0,0,0
8,41,20,0,3,2,40,7,50,74,0,64,2,24
6,886,1316,752,238,460,1086,4188,6637,465,77,4361,653,1655
6,53,932,33,1,1679,61,125,1130,16,0,129,142,183
1,1,1,0,54,0,0,0,7,2,756,0,0,1
